date,open,high,low,close,volume
2021-03-29,100.743,102.09,99.9105,101.921,26588658
2021-03-30,102.278,102.761,101.44,101.955,27416147
2021-03-31,102.349,103.936,101.981,102.753,42723959
2021-04-01,104.235,106.403,104.194,106.104,40024669
2021-04-05,106.97,111.046,106.873,110.547,48685452
2021-04-06,110.147,110.998,109.692,110.064,35368531
2021-04-07,110.256,111.819,110.256,111.548,24221407
2021-04-08,112.791,113.179,111.746,112.115,28768190
2021-04-09,111.866,113.287,111.459,113.124,26240079
2021-04-12,112.299,112.437,110.989,111.825,25114373
2021-04-13,112.143,112.764,111.747,112.314,25774658
2021-04-14,112.963,112.963,111.397,111.69,21078997
2021-04-15,112.689,114.385,112.152,113.85,29280742
2021-04-16,114.048,114.297,113.136,113.726,26378057
2021-04-19,113.099,114.789,113.099,114.074,30399202
2021-04-20,114.459,114.535,112.449,113.538,22369117
2021-04-21,113.192,113.588,111.835,113.505,23288297
2021-04-22,113.359,114.031,111.612,112.219,24233049
2021-04-23,112.941,114.889,112.653,114.581,29216610
2021-04-26,114.809,115.807,114.451,115.079,32153980
2021-04-27,115.464,115.504,113.895,114.135,44546502
2021-04-28,119.193,121.13,117.236,117.526,81400820
2021-04-29,119.031,119.774,118.263,119.206,41382554
2021-04-30,117.973,118.661,116.904,117.25,45019370
2021-05-03,117.818,118.647,116.353,116.731,28345162
2021-05-04,115.26,115.829,112.427,114.925,44981112
2021-05-05,116.012,116.328,114.997,115.32,26732738
2021-05-06,114.899,116.445,114.238,116.445,25281777
2021-05-07,117.768,118.134,116.885,117.171,29001995
2021-05-10,115.987,116.129,113.815,114.174,31026648
2021-05-11,111.749,113.602,111.292,113.093,34309767
2021-05-12,110.908,111.993,109.285,109.614,46543595
2021-05-13,110.904,111.568,109.938,111.049,33340827
2021-05-14,112.52,113.824,112.094,113.507,32112570
2021-05-17,112.77,114.075,112.369,114.033,21675672
2021-05-18,114.702,114.967,112.701,112.715,22284190
2021-05-19,111.02,113.338,110.87,113.165,23769957
2021-05-20,114.136,115.182,113.764,114.931,32468275
2021-05-21,115.452,115.526,114.051,114.292,40779094
2021-05-24,115.326,117.85,115.18,117.626,31947594
2021-05-25,118.172,118.769,117.325,117.717,22520985
2021-05-26,117.898,119.018,117.895,118.586,21650160
2021-05-27,119.022,119.022,117.387,117.708,35351710
2021-05-28,118.292,118.375,117.217,117.416,21568706
2021-06-01,118.293,118.855,117.289,118.629,23442695
2021-06-02,119.027,119.25,117.193,118.102,21239637
2021-06-03,116.863,117.425,116.055,116.955,18763694
2021-06-04,118.036,119.518,117.694,119.247,24546863
2021-06-07,119.041,119.791,118.62,119.681,24206754
2021-06-08,120.165,120.539,119.307,119.489,24327711
2021-06-09,120.135,120.208,119.412,119.963,18006078
2021-06-10,119.912,121.36,119.755,121.316,26001417
2021-06-11,121.56,121.645,120.511,121.071,22037740
2021-06-14,121.174,122.004,120.463,122.004,22177665
2021-06-15,122.008,122.332,120.619,120.981,21640304
2021-06-16,121.133,121.446,119.039,120.336,26567823
2021-06-17,120.261,122.08,120.064,121.304,25942584
2021-06-18,120.928,121.164,119.581,119.677,46282372
2021-06-21,120.065,121.56,119.465,121.372,27513037
2021-06-22,121.31,121.958,120.627,121.888,22471366
2021-06-23,121.652,122.65,121.394,121.686,19223595
2021-06-24,122.257,122.611,121.858,122.058,21442590
2021-06-25,121.56,122.19,121.126,122.066,34721795
2021-06-28,122.236,122.341,120.967,122.094,28628827
2021-06-29,122.227,122.577,121.251,121.83,23192491
2021-06-30,121.554,121.815,120.915,121.649,24562700
2021-07-01,121.285,122.144,121.093,122.002,18178480
2021-07-02,122.705,124.951,122.615,124.805,26096440
2021-07-06,125.195,125.972,124.133,125.734,26499295
2021-07-07,126.703,126.825,125.697,126.018,24146236
2021-07-08,123.578,125.142,123.574,124.592,23875578
2021-07-09,124.574,125.28,124.101,125.065,18699221
2021-07-12,125.722,126.61,125.158,126.517,17731827
2021-07-13,126.579,127.595,126.216,126.882,19316712
2021-07-14,127.496,128.859,127.452,127.774,23831740
2021-07-15,128.185,128.235,126.074,126.546,24306595
2021-07-16,127.202,127.35,125.698,126.511,20498581
2021-07-19,125.634,125.749,123.059,124.128,28068965
2021-07-20,125.075,126.584,123.901,125.754,26411839
2021-07-21,125.678,127.135,125.568,127.088,20821387
2021-07-22,127.382,128.019,127.038,127.957,14353725
2021-07-23,129.958,132.917,129.331,132.535,41656884
2021-07-26,132.847,133.752,131.824,133.551,30682304
2021-07-27,133.766,133.914,129.634,131.423,54907807
2021-07-28,135.82,137.797,134.79,135.603,95475458
2021-07-29,135.659,136.167,135.054,135.287,31830692
2021-07-30,134.547,134.816,133.77,134.241,25668494
2021-08-02,134.629,134.847,133.311,134.366,21712626
2021-08-03,134.647,135.241,132.839,135.14,20837143
2021-08-04,134.86,135.159,134.001,134.638,19747347
2021-08-05,135.189,135.858,134.359,135.76,17933776
2021-08-06,135.551,135.979,134.722,135.247,20562391
2021-08-09,135.451,136.688,134.85,136.419,17830403
2021-08-10,136.846,137.275,135.871,136.313,19484458
2021-08-11,136.686,137.185,135.78,135.787,15407652
2021-08-12,135.485,136.804,134.937,136.698,16578742
2021-08-13,136.754,137.359,136.539,137.231,16005251
2021-08-16,137.028,137.862,134.81,137.81,22479556
2021-08-17,137.253,137.766,135.591,136.168,21793919
2021-08-18,136.007,136.609,134.833,134.96,19328755
2021-08-19,133.95,135.861,133.765,135.189,21861503
2021-08-20,135.509,137.057,134.762,136.933,31306238
2021-08-23,137.47,140.366,137.111,139.535,28556546
2021-08-24,140.104,141.567,139.831,140.752,19337065
2021-08-25,141.114,141.676,140.866,141.566,15908943
2021-08-26,141.237,141.903,140.847,140.929,20684030
2021-08-27,141.14,143.99,140.986,143.484,28884531
2021-08-30,143.878,145.443,143.642,144.068,24522776
2021-08-31,144.623,144.647,143.76,144.175,22530139
2021-09-01,144.476,145.725,144.361,144.692,22015620
2021-09-02,144.692,144.993,142.667,142.769,32475441
2021-09-03,142.564,143.634,141.887,143.221,19926334
