rank	config	model	f1	peak_f1	valley_f1
1	w[5, 10, 20]|lb14|vol|rsi	lr	0.2302	0.1695	0.2909
2	w[5, 10, 20]|lb20|macd	lr	0.2127	0.1176	0.3077
3	w[5, 10, 20]|lb14|rsi	lr	0.1944	0.1176	0.2712
4	w[5, 10, 20]|lb20|bb	lr	0.1776	0.1053	0.2500
5	w[5, 10, 20]|lb10|vol	lr	0.1738	0.1053	0.2424
6	w[5, 10]|lb10	lr	0.1669	0.1319	0.2020
7	w[5, 10, 20]|lb20|vol|rsi|macd|bb	lr	0.1611	0.1000	0.2222
8	w[20]|lb14|rsi|bb	lr	0.1507	0.1250	0.1765
9	w[5, 10, 20]|lb10	lr	0.1465	0.1013	0.1918
10	w[5]|lb5	lr	0.1438	0.1143	0.1732
11	w[5]|lb5	rf	0.1155	0.0571	0.1739
12	w[10, 20, 50]|lb30|vol|rsi|macd|bb	lr	0.0799	0.0690	0.0909
13	w[5, 10, 20, 50]|lb30|vol|rsi|macd|bb	lr	0.0662	0.0784	0.0541
14	w[5, 10, 20]|lb10|vol	rf	0.0625	0.1250	0.0000
15	w[5, 10, 20]|lb14|rsi	rf	0.0556	0.0000	0.1111
16	w[5, 10, 20]|lb20|bb	rf	0.0556	0.0000	0.1111
17	w[20]|lb14|rsi|bb	rf	0.0526	0.0000	0.1053
18	w[5, 10]|lb10	rf	0.0476	0.0952	0.0000
19	w[5, 10, 20]|lb10	rf	0.0455	0.0909	0.0000
20	w[5]|lb5	gb	0.0000	0.0000	0.0000
21	w[5, 10]|lb10	gb	0.0000	0.0000	0.0000
22	w[5, 10, 20]|lb10	gb	0.0000	0.0000	0.0000
23	w[5, 10, 20]|lb10|vol	gb	0.0000	0.0000	0.0000
24	w[5, 10, 20]|lb14|rsi	gb	0.0000	0.0000	0.0000
25	w[5, 10, 20]|lb20|macd	rf	0.0000	0.0000	0.0000
26	w[5, 10, 20]|lb20|macd	gb	0.0000	0.0000	0.0000
27	w[5, 10, 20]|lb20|bb	gb	0.0000	0.0000	0.0000
28	w[5, 10, 20]|lb14|vol|rsi	rf	0.0000	0.0000	0.0000
29	w[5, 10, 20]|lb14|vol|rsi	gb	0.0000	0.0000	0.0000
30	w[5, 10, 20]|lb20|vol|rsi|macd|bb	rf	0.0000	0.0000	0.0000
31	w[5, 10, 20]|lb20|vol|rsi|macd|bb	gb	0.0000	0.0000	0.0000
32	w[10, 20, 50]|lb30|vol|rsi|macd|bb	rf	0.0000	0.0000	0.0000
33	w[10, 20, 50]|lb30|vol|rsi|macd|bb	gb	0.0000	0.0000	0.0000
34	w[5, 10, 20, 50]|lb30|vol|rsi|macd|bb	rf	0.0000	0.0000	0.0000
35	w[5, 10, 20, 50]|lb30|vol|rsi|macd|bb	gb	0.0000	0.0000	0.0000
36	w[20]|lb14|rsi|bb	gb	0.0000	0.0000	0.0000
